RUN	simulations.Main_Simulation	main-simulation	1651575143964	 	3.3.1
USER	Solirius Simulation	1	START	1651575145390	1651575145390
REQUEST	1	solirius_010_HomePage	solirius_010_HomePage	1651575145421	1651575146458	OK	 
GROUP	1	solirius_010_HomePage	1651575145401	1651575148786	2934	OK
REQUEST	1	solirius_020_About_Us	solirius_020_About_Us	1651575154668	1651575156832	OK	 
GROUP	1	solirius_020_About_Us	1651575154661	1651575157252	2366	OK
REQUEST	1	solirius_030_Business-Consulting	solirius_030_Business-Consulting	1651575163935	1651575166425	OK	 
GROUP	1	solirius_030_Business-Consulting	1651575163932	1651575166658	2664	OK
REQUEST	1	solirius_040_Cloud_Cyber	solirius_040_Cloud_Cyber	1651575172563	1651575175324	OK	 
GROUP	1	solirius_040_Cloud_Cyber	1651575172562	1651575175584	2994	OK
REQUEST	1	solirius_050_Data_AI	solirius_050_Data_AI	1651575182293	1651575185159	OK	 
GROUP	1	solirius_050_Data_AI	1651575182292	1651575186030	3705	OK
REQUEST	1	solirius_060_Digital_Delivery	solirius_060_Digital_Delivery	1651575192885	1651575198156	KO	substring(From start to finish).find.exists, found nothing
GROUP	1	solirius_060_Digital_Delivery	1651575192882	1651575198289	5271	KO
USER	Solirius Simulation	1	END	1651575145390	1651575198305
