RUN	simulations.Main_Simulation	main-simulation	1651583766548	 	3.3.1
USER	Solirius Simulation	1	START	1651583767595	1651583767595
REQUEST	1	solirius_010_HomePage	solirius_010_HomePage	1651583767637	1651583770910	OK	 
GROUP	1	solirius_010_HomePage	1651583767603	1651583772723	4654	OK
REQUEST	1	solirius_020_About_Us	solirius_020_About_Us	1651583779715	1651583781869	OK	 
GROUP	1	solirius_020_About_Us	1651583779692	1651583782478	2704	OK
REQUEST	1	solirius_030_Business-Consulting	solirius_030_Business-Consulting	1651583788509	1651583790775	OK	 
GROUP	1	solirius_030_Business-Consulting	1651583788507	1651583791279	2725	OK
REQUEST	1	solirius_040_Cloud_Cyber	solirius_040_Cloud_Cyber	1651583796968	1651583799890	OK	 
GROUP	1	solirius_040_Cloud_Cyber	1651583796966	1651583800354	3315	OK
REQUEST	1	solirius_050_Data_AI	solirius_050_Data_AI	1651583806439	1651583808835	OK	 
GROUP	1	solirius_050_Data_AI	1651583806438	1651583809366	2898	OK
REQUEST	1	solirius_060_Digital_Delivery	solirius_060_Digital_Delivery	1651583814489	1651583817095	OK	 
GROUP	1	solirius_060_Digital_Delivery	1651583814488	1651583817559	3007	OK
REQUEST	1	solirius_070_Digital_Engineering	solirius_070_Digital_Engineering	1651583823234	1651583825599	OK	 
GROUP	1	solirius_070_Digital_Engineering	1651583823229	1651583826124	2838	OK
REQUEST	1	solirius_080_User_Centered_Design	solirius_080_User_Centered_Design	1651583832893	1651583835220	OK	 
GROUP	1	solirius_080_User_Centered_Design	1651583832849	1651583835590	2665	OK
REQUEST	1	solirius_090_Insights	solirius_090_Insights	1651583841599	1651583844330	KO	substring(Filter Stories).find.exists, found nothing
GROUP	1	solirius_090_Insights	1651583841596	1651583844648	2731	KO
USER	Solirius Simulation	1	END	1651583767595	1651583844663
