RUN	simulations.Main_Simulation	main-simulation	1651574957591	 	3.3.1
USER	Solirius Simulation	1	START	1651574959036	1651574959036
REQUEST	1	solirius_010_HomePage	solirius_010_HomePage	1651574959070	1651574960907	OK	 
GROUP	1	solirius_010_HomePage	1651574959043	1651574962939	3654	OK
REQUEST	1	solirius_020_About_Us	solirius_020_About_Us	1651574968182	1651574970232	OK	 
GROUP	1	solirius_020_About_Us	1651574968159	1651574970656	2398	OK
REQUEST	1	solirius_030_Business-Consulting	solirius_030_Business-Consulting	1651574977431	1651574980040	OK	 
GROUP	1	solirius_030_Business-Consulting	1651574977428	1651574980374	2884	OK
REQUEST	1	solirius_040_Cloud_Cyber	solirius_040_Cloud_Cyber	1651574985640	1651574989166	OK	 
GROUP	1	solirius_040_Cloud_Cyber	1651574985638	1651574989450	3781	OK
REQUEST	1	solirius_050_Data_AI	solirius_050_Data_AI	1651574994613	1651574994723	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 404
GROUP	1	solirius_050_Data_AI	1651574994609	1651574994782	110	KO
USER	Solirius Simulation	1	END	1651574959036	1651574994816
