RUN	simulations.Main_Simulation	main-simulation	1650531643462	 	3.3.1
USER	Solirius Simulation	1	START	1650531644411	1650531644411
REQUEST	1	solirius_010_HomePage	solirius_010_HomePage	1650531644431	1650531645033	OK	 
GROUP	1	solirius_010_HomePage	1650531644415	1650531645536	911	OK
REQUEST	1	solirius_020_About_Us	solirius_020_About_Us	1650531650944	1650531652003	OK	 
GROUP	1	solirius_020_About_Us	1650531650923	1650531652110	1100	OK
REQUEST	1	solirius_030_Business-Consulting	solirius_030_Business-Consulting	1650531657969	1650531660029	OK	 
GROUP	1	solirius_030_Business-Consulting	1650531657961	1650531660271	2266	OK
REQUEST	1	solirius_040_Cloud_Cyber	solirius_040_Cloud_Cyber	1650531660273	1650531662361	OK	 
GROUP	1	solirius_040_Cloud_Cyber	1650531660271	1650531662768	2447	OK
REQUEST	1	solirius_050_Data_AI	solirius_050_Data_AI	1650531662771	1650531663798	OK	 
GROUP	1	solirius_050_Data_AI	1650531662768	1650531663828	1030	OK
REQUEST	1	solirius_060_Digital_Delivery	solirius_060_Digital_Delivery	1650531663830	1650531665433	OK	 
GROUP	1	solirius_060_Digital_Delivery	1650531663828	1650531665847	1987	OK
REQUEST	1	solirius_070_Digital_Engineering	solirius_070_Digital_Engineering	1650531665849	1650531669527	OK	 
GROUP	1	solirius_070_Digital_Engineering	1650531665847	1650531670049	4169	OK
REQUEST	1	solirius_080_User_Centered_Design	solirius_080_User_Centered_Design	1650531670053	1650531672096	OK	 
GROUP	1	solirius_080_User_Centered_Design	1650531670049	1650531673467	3380	OK
REQUEST	1	solirius_090_Insights	solirius_090_Insights	1650531673472	1650531675883	OK	 
GROUP	1	solirius_090_Insights	1650531673468	1650531676163	2652	OK
REQUEST	1	solirius_100_Blog_1_Rebecca	solirius_100_Blog_1_Rebecca	1650531676167	1650531679739	OK	 
GROUP	1	solirius_100_Blog_1_Rebecca	1650531676163	1650531680057	3849	OK
REQUEST	1	solirius_110_Blog_2_Max	solirius_110_Blog_2_Max	1650531680068	1650531681117	OK	 
GROUP	1	solirius_110_Blog_2_Max	1650531680057	1650531682074	1965	OK
REQUEST	1	solirius_120_Contact	solirius_120_Contact	1650531682081	1650531682753	KO	substring(Let's talk about your next big project).find.exists, found nothing
GROUP	1	solirius_120_Contact	1650531682075	1650531682834	672	KO
USER	Solirius Simulation	1	END	1650531644411	1650531682857
